BPM 90
AUDIO muzyka1
1 12945 1
2 15480 1
3 18139 1
1 22708 1
3 23616 1
4 24554 1
5 25243 1
3 27183 1
2 27808 1
1 29811 1
3 30343 1
2 32846 1
1 33910 1
3 34911 1
2 35537 1
4 37383 1
5 38009 1
5 39980 1
4 40574 1
3 43203 1
2 63634 1
3 64604 1
4 65543 1
5 66200 1
2 68046 1
3 68748 1
2 70689 1
3 71269 1
1 73741 1
2 74711 1
1 75587 1
3 76275 1
4 78246 1
5 78872 1
4 80781 1
2 81438 1
1 84097 1
2 84723 1
3 85067 1
4 85443 1
5 85912 1
2 86382 1
3 86663 1
5 87164 1
4 87477 1
2 87758 1
1 88071 1
1 88384 1
2 88666 1
3 89010 1
5 89667 1
4 89980 1
5 90261 1
4 90950 1
1 91231 1
2 91644 1
3 92264 1
5 92546 1
1 92827 1
2 93171 1
2 93453 1
1 93766 1
5 94110 1
2 94733 1
1 95077 1
2 95421 1
1 95987 1
3 96332 1
4 96644 1
5 97270 1
2 97614 1
1 97927 1
2 98209 1
3 98553 1
4 98866 1
5 99210 1
3 99773 1
2 100086 1
1 100430 1
4 101056 1
4 101400 1
1 101713 1
2 102402 1
3 102683 1
4 103027 1
5 103340 1
1 103653 1
3 103997 1
2 104310 1
1 105312 1
1 106344 1
2 106907 1
1 108785 1
1 109473 1
2 111444 1
2 112070 1
